time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-8.16951944023e-08,9.67043675888e-08,10.0035119569,0.0001060821903,9.12785423326e-05,0.0,-7.66300970666e-06,8.99379439239e-06,0.117059645972,0.00508858890341,0.00440263187846,0.0,441.9151404869437,442.277800032641,442.2532161674736,442.6720340960485
0.12000000000000001,-5.36368444659e-06,4.90024230491e-06,10.0198004732,0.000155541174712,0.00097344072388,0.0,-0.000251777508353,0.0001770441474,0.425827032721,-0.00947167009604,0.0298894499477,0.0,497.7925180249761,499.6536591782659,499.4061877748137,498.34321100521163
0.18,-5.09946632531e-05,1.66698041768e-05,10.0507055409,6.28275918311,0.0031460047232,0.0,-0.00149708763918,0.000149943759921,0.604263664426,-0.0101436893228,0.0465372634177,0.0,460.30654162242735,461.6224153520844,461.72821796216687,461.6753332758597
0.23999999999999996,-0.000203197349916,1.67590371357e-05,10.0863490443,6.28246100615,0.00580518316211,0.0,-0.00380617293403,-0.00018378394326,0.583863007714,0.00376643678417,0.0394695810656,0.0,397.7952969280203,397.1490302151624,396.3944474775461,397.6705574782627
0.3,-0.000550952895238,-7.37896619429e-06,10.1228105829,6.28248412867,0.0076843316256,0.0,-0.00799486287671,-0.000608074814304,0.631494774536,-0.00742010795159,0.00528204860099,0.0,421.99034368462674,419.02963308641466,420.6240220562339,419.6542712868959
0.36000000000000004,-0.00121609533506,-6.25763773633e-05,10.1669995242,6.28210051407,0.00766332697187,0.0,-0.0141971274479,-0.00128065933488,0.841338626958,-0.00441565826824,-0.0150653376906,0.0,470.92648021665906,469.35019340745157,471.5645691821492,471.7966686777099
0.4200000000000001,-0.00224149164013,-0.000165401783316,10.2229895482,6.28208110386,0.0065470075021,0.0,-0.0198674718978,-0.00216175158632,1.02484960735,0.00681106187129,-0.0268400891987,0.0,463.83653678009273,462.91107435761273,462.949037233751,463.8314576412004
0.48000000000000015,-0.00360496986742,-0.000323295126133,10.2942199031,6.2821107132,0.00510548610587,0.0,-0.0253742006289,-0.00306512143342,1.34917205877,-0.0167808364641,-0.0189193165916,0.0,504.43573014719357,505.0073135269318,504.39508513477745,502.68864403846334
0.5400000000000001,-0.00524278455446,-0.0005364187067,10.3810883525,6.2805632687,0.00387633233413,0.0,-0.0290811458664,-0.00417089433354,1.54619793392,-0.0578860730311,-0.0238188128494,0.0,468.5869150474844,468.20596262533934,470.100267456063,466.90420749963357
0.6000000000000002,-0.00705862371929,-0.000850855201631,10.4758329787,6.2768763841,0.00250416865862,0.0,-0.0313108598895,-0.00665585272016,1.6118649621,-0.0697392520538,-0.0210353339558,0.0,429.19154710474476,429.4276445606409,427.70608043626936,426.6925283640658
0.6600000000000003,-0.0089846788413,-0.00139783470132,10.5757282831,6.27230456926,0.0013005814135,0.0,-0.0327639043222,-0.0120210553863,1.71782199847,-0.0940123650086,-0.0181769470487,0.0,440.54470985126454,440.7809982916436,443.0282200815844,441.02315683756126
0.7200000000000003,-0.0109718464109,-0.00235114999271,10.6805917469,6.26637140936,5.33374109661e-05,0.0,-0.0333632533,-0.0203084552193,1.77752868362,-0.111040508139,-0.0265988267248,0.0,426.58245550349324,425.8627171671145,428.25795224114506,426.7981811200965
0.7800000000000004,-0.0129685359083,-0.0039480273596,10.7905557094,6.25984475675,6.28151592542,0.0,-0.033021760718,-0.0335998175995,1.88774793904,-0.104600953302,-0.0333132646154,0.0,443.1573045622327,442.6048383578354,443.36073524458885,443.87898721379565
0.8400000000000004,-0.0149051589956,-0.00650040460575,10.9080459182,6.253302156,6.27929398124,0.0,-0.0313062952425,-0.052163597652,2.02833502428,-0.119859267701,-0.0457596194751,0.0,454.18676599734266,453.1868609231639,453.11472074648253,451.8760655501881
0.9000000000000005,-0.0166807834025,-0.0103610269127,11.035489971,6.24587869255,6.27672032602,0.0,-0.0275761731735,-0.0773548386481,2.21941954236,-0.132852811694,-0.0377056249796,0.0,468.31782994809635,468.9429057353397,469.6719251763479,468.650007993005
0.9600000000000005,-0.0181780747255,-0.0158926664286,11.1739413581,6.23775466829,6.27497427048,0.0,-0.0221134206903,-0.107929671184,2.39523540811,-0.141049367755,-0.0158680719939,0.0,464.14437602111775,465.8546960800998,465.615546142219,464.9577918195901
1.0200000000000005,-0.0193167631904,-0.0234229314325,11.3224207902,6.22940322237,6.27412165065,0.0,-0.0157459718563,-0.143992743123,2.55368976196,-0.135714788668,-0.0110855544221,0.0,459.94014143505757,460.31885955250164,461.14904777567557,461.5530066962926
1.0800000000000005,-0.020095452285,-0.0330610336835,11.4760307026,6.22155266538,6.27322717781,0.0,-0.0101422197131,-0.17798673844,2.56656647237,-0.122551673698,-0.0239261185299,0.0,415.79586677662843,414.66949044293483,414.62341152832624,415.76108369448735
1.1400000000000006,-0.0205030832706,-0.0449781504896,11.6319906286,6.21407858699,6.27189324156,0.0,-0.00331282404169,-0.219958548912,2.63189572168,-0.128935876513,-0.0190435855228,0.0,432.7043690868978,433.1151593515995,432.67991925723396,432.12750235714566
1.2000000000000006,-0.0204529393424,-0.0597005182434,11.7938258989,6.20622238498,6.27059896172,0.0,0.00511016335526,-0.271594698921,2.76223734718,-0.135267935299,-0.0271776363755,0.0,453.69338088442004,453.03983689308643,454.0912478279474,453.5676363005847
